account_id,queue,status,month
44476,TRACE,GONEAWAY,2024-12-01
15757,PAYING,PAY PROP,2024-12-01
55044,TRACE,GONEAWAY,2024-12-01
26918,INSOLVENCY,INS4,2024-12-01
11916,COLLECTIONS,TELSOLUTIONS1,2024-12-01
91710,PAYING,PAY PROP,2024-12-01
15004,INSOLVENCY,INS4,2024-12-01
40659,OTHER,ARCHIVED,2024-12-01
98254,PAYING,PAY PROP,2024-12-01
43882,INSOLVENCY,INS4,2024-12-01
54718,TRACE,GONEAWAY,2024-12-01
61582,OTHER,ARCHIVED,2024-12-01
60011,PAYING,PAY PROP,2024-12-01
94400,TRACE,GONEAWAY,2024-12-01
92221,INSOLVENCY,INSP,2024-12-01
46992,SETTLED,SETTLED,2024-12-01
91142,COLLECTIONS,TELSOLUTIONS1,2024-12-01
46155,PAYING,PAY PROP,2024-12-01
88654,COLLECTIONS,PRIME,2024-12-01
19372,COLLECTIONS,PAY OVER,2024-12-01
58984,COLLECTIONS,PRIME,2024-12-01
49823,INSOLVENCY,INS3,2024-12-01
54296,TRACE,GONEAWAY,2024-12-01
44286,LEGAL,LEG VERIF 2,2024-12-01
11449,LEGAL,LEG_TIT,2024-12-01
33347,TRACE,GONEAWAY,2024-12-01
19523,INSOLVENCY,INS3,2024-12-01
44502,TRACE,GONEAWAY,2024-12-01
89313,SETTLED,SETTLED,2024-12-01
19675,COLLECTIONS,TELSOLUTIONS4,2024-12-01
83943,SETTLED,SETTLED,2024-12-01
68861,COLLECTIONS,PRIME,2024-12-01
53017,OTHER,ARCHIVED,2024-12-01
55992,TRACE,GONEAWAY,2024-12-01
53016,INSOLVENCY,INS4,2024-12-01
10474,LEGAL,LEG_TIT,2024-12-01
95274,PAYING,PAY PROP,2024-12-01
47933,COLLECTIONS,CANCEL2,2024-12-01
19099,LEGAL,LEG VERIF 1,2024-12-01
39629,TRACE,GONEAWAY,2024-12-01
28442,LEGAL,LEG VERIF 2,2024-12-01
95324,OTHER,ARCHIVED,2024-12-01
98172,OTHER,ARCHIVED,2024-12-01
27789,INSOLVENCY,INS3,2024-12-01
59344,LEGAL,LEG VERIF 1,2024-12-01
31233,LEGAL,HOLD FO,2024-12-01
42494,PAYING,PAY PROP,2024-12-01
93257,LEGAL,LEG_NOT,2024-12-01
28382,LEGAL,LEG VERIF 1,2024-12-01
91658,OTHER,ARCHIVED,2024-12-01
69791,PAYING,PAY CURR,2024-12-01
41546,SETTLED,SETTLED,2024-12-01
65559,INSOLVENCY,INS4,2024-12-01
13787,LEGAL,LEG VERIF 1,2024-12-01
83652,INSOLVENCY,INS1,2024-12-01
71125,COLLECTIONS,TELSOLUTIONS4,2024-12-01
35227,OTHER,ARCHIVED,2024-12-01
17413,OTHER,ARCHIVED,2024-12-01
38921,TRACE,GONEAWAY,2024-12-01
95230,OTHER,ARCHIVED,2024-12-01
13861,LEGAL,LEG_TIT,2024-12-01
21707,PAYING,PAY PROP,2024-12-01
13206,OTHER,ARCHIVED,2024-12-01
15248,PAYING,PAY PROP,2024-12-01
95291,SETTLED,SETTLED,2024-12-01
84640,COLLECTIONS,TELSOLUTIONS1,2024-12-01
95157,LEGAL,LEG_NOT,2024-12-01
79792,PAYING,PAY CURR,2024-12-01
98794,OTHER,ARCHIVED,2024-12-01
90869,COLLECTIONS,PRIME_D,2024-12-01
39313,COLLECTIONS,CASSIST2,2024-12-01
21453,SETTLED,SETTLED,2024-12-01
60001,COLLECTIONS,PRIME_D,2024-12-01
77917,COLLECTIONS,CASSIST2,2024-12-01
63848,PAYING,PAY CURR,2024-12-01
55047,TRACE,GONEAWAY,2024-12-01
58434,LEGAL,HOLD FO,2024-12-01
99694,SETTLED,SETTLED,2024-12-01
77521,COLLECTIONS,PRIME_D,2024-12-01
42247,TRACE,GONEAWAY,2024-12-01
50973,COLLECTIONS,CANCEL2,2024-12-01
91099,OTHER,ARCHIVED,2024-12-01
61934,COLLECTIONS,CANCEL4,2024-12-01
16077,SETTLED,SETTLED,2024-12-01
46986,PAYING,PAY CURR,2024-12-01
57074,OTHER,ARCHIVED,2024-12-01
66138,INSOLVENCY,INSP,2024-12-01
13883,INSOLVENCY,INS1,2024-12-01
62345,TRACE,GONEAWAY,2024-12-01
94956,INSOLVENCY,INS2,2024-12-01
29836,OTHER,ARCHIVED,2024-12-01
13057,INSOLVENCY,INS2,2024-12-01
18486,OTHER,ARCHIVED,2024-12-01
13664,LEGAL,LEG_TIT,2024-12-01
63538,INSOLVENCY,INS4,2024-12-01
34223,TRACE,GONEAWAY,2024-12-01
39966,INSOLVENCY,INS3,2024-12-01
46662,PAYING,PAY PROP,2024-12-01
14671,SETTLED,SETTLED,2024-12-01
32998,LEGAL,LEG_TIT,2024-12-01
91678,SETTLED,SETTLED,2024-12-01
94751,OTHER,ARCHIVED,2024-12-01
39643,INSOLVENCY,INS4,2024-12-01
97918,COLLECTIONS,CANCEL2,2024-12-01
33057,PAYING,PAY PROP,2024-12-01
14567,LEGAL,LEG_NOT,2024-12-01
25726,INSOLVENCY,INS3,2024-12-01
74670,SETTLED,SETTLED,2024-12-01
11254,SETTLED,SETTLED,2024-12-01
18838,TRACE,GONEAWAY,2024-12-01
93774,INSOLVENCY,INS1,2024-12-01
64136,OTHER,ARCHIVED,2024-12-01
70219,OTHER,ARCHIVED,2024-12-01
45153,INSOLVENCY,INSP,2024-12-01
85441,TRACE,GONEAWAY,2024-12-01
21489,TRACE,GONEAWAY,2024-12-01
94714,INSOLVENCY,INS2,2024-12-01
72340,INSOLVENCY,INSP,2024-12-01
59940,OTHER,ARCHIVED,2024-12-01
66216,PAYING,PAY PROP,2024-12-01
60840,SETTLED,SETTLED,2024-12-01
75723,OTHER,ARCHIVED,2024-12-01
40540,COLLECTIONS,PRIME_D,2024-12-01
52087,INSOLVENCY,INS2,2024-12-01
73732,PAYING,PAY CURR,2024-12-01
47543,OTHER,ARCHIVED,2024-12-01
13989,SETTLED,SETTLED,2024-12-01
86013,LEGAL,LEG_TIT,2024-12-01
21698,SETTLED,SETTLED,2024-12-01
57417,PAYING,PAY CURR,2024-12-01
23382,LEGAL,HOLD FO,2024-12-01
46494,TRACE,GONEAWAY,2024-12-01
70629,OTHER,ARCHIVED,2024-12-01
93496,COLLECTIONS,CANCEL2,2024-12-01
86086,OTHER,ARCHIVED,2024-12-01
17821,OTHER,ARCHIVED,2024-12-01
27543,LEGAL,LEG_NOT,2024-12-01
89176,TRACE,GONEAWAY,2024-12-01
13124,PAYING,PAY CURR,2024-12-01
22367,PAYING,PAY CURR,2024-12-01
74428,SETTLED,SETTLED,2024-12-01
47450,SETTLED,SETTLED,2024-12-01
68126,SETTLED,SETTLED,2024-12-01
37988,SETTLED,SETTLED,2024-12-01
97661,OTHER,ARCHIVED,2024-12-01
87813,PAYING,PAY PROP,2024-12-01
78078,TRACE,GONEAWAY,2024-12-01
47103,OTHER,ARCHIVED,2024-12-01
37628,INSOLVENCY,INS1,2024-12-01
31658,TRACE,GONEAWAY,2024-12-01
88060,OTHER,ARCHIVED,2024-12-01
25000,COLLECTIONS,CANCEL2,2024-12-01
31172,PAYING,PAY CURR,2024-12-01
64246,PAYING,PAY PROP,2024-12-01
91435,TRACE,GONEAWAY,2024-12-01
21415,TRACE,GONEAWAY,2024-12-01
52697,SETTLED,SETTLED,2024-12-01
75042,OTHER,ARCHIVED,2024-12-01
84256,LEGAL,LEG_NOT,2024-12-01
20507,INSOLVENCY,INSP,2024-12-01
34108,COLLECTIONS,CANCEL2,2024-12-01
45495,INSOLVENCY,INS3,2024-12-01
22047,INSOLVENCY,INS2,2024-12-01
91712,INSOLVENCY,INS3,2024-12-01
77145,LEGAL,LEG_NOT,2024-12-01
57663,INSOLVENCY,INS1,2024-12-01
30496,LEGAL,LEG_TIT,2024-12-01
99755,PAYING,PAY PROP,2024-12-01
67443,COLLECTIONS,PAY OVER,2024-12-01
39175,COLLECTIONS,CANCEL4,2024-12-01
52219,COLLECTIONS,CANCEL4,2024-12-01
77395,INSOLVENCY,INS4,2024-12-01
91001,COLLECTIONS,CASSIST2,2024-12-01
47857,LEGAL,HOLD FO,2024-12-01
82789,PAYING,PAY CURR,2024-12-01
67303,COLLECTIONS,TELSOLUTIONS1,2024-12-01
31527,COLLECTIONS,PAY OVER,2024-12-01
67701,COLLECTIONS,TELSOLUTIONS4,2024-12-01
27800,TRACE,GONEAWAY,2024-12-01
71914,INSOLVENCY,INSP,2024-12-01
93809,PAYING,PAY PROP,2024-12-01
55200,COLLECTIONS,CASSIST2,2024-12-01
27620,LEGAL,HOLD FO,2024-12-01
43108,OTHER,ARCHIVED,2024-12-01
79521,INSOLVENCY,INS2,2024-12-01
59505,COLLECTIONS,CANCEL4,2024-12-01
32832,SETTLED,SETTLED,2024-12-01
45539,INSOLVENCY,INS3,2024-12-01
64713,COLLECTIONS,CANCEL4,2024-12-01
35504,PAYING,PAY PROP,2024-12-01
24815,INSOLVENCY,INS4,2024-12-01
19986,INSOLVENCY,INS2,2024-12-01
85173,LEGAL,HOLD FO,2024-12-01
66463,PAYING,PAY CURR,2024-12-01
92889,TRACE,GONEAWAY,2024-12-01
97280,SETTLED,SETTLED,2024-12-01
40198,LEGAL,LEG_NOT,2024-12-01
71048,SETTLED,SETTLED,2024-12-01
96772,OTHER,ARCHIVED,2024-12-01
62106,TRACE,GONEAWAY,2024-12-01
38899,SETTLED,SETTLED,2024-12-01
56961,OTHER,ARCHIVED,2024-12-01
89612,INSOLVENCY,INS1,2024-12-01
52609,COLLECTIONS,PRIME_D,2024-12-01
78528,PAYING,PAY CURR,2024-12-01
88706,SETTLED,SETTLED,2024-12-01
28504,OTHER,ARCHIVED,2024-12-01
11356,OTHER,ARCHIVED,2024-12-01
47808,TRACE,GONEAWAY,2024-12-01
14961,TRACE,GONEAWAY,2024-12-01
76500,TRACE,GONEAWAY,2024-12-01
66106,TRACE,GONEAWAY,2024-12-01
64070,COLLECTIONS,CANCEL4,2024-12-01
24213,COLLECTIONS,CANCEL4,2024-12-01
36291,TRACE,GONEAWAY,2024-12-01
34629,OTHER,ARCHIVED,2024-12-01
41740,TRACE,GONEAWAY,2024-12-01
84211,SETTLED,SETTLED,2024-12-01
61279,INSOLVENCY,INS2,2024-12-01
82526,LEGAL,LEG_TIT,2024-12-01
81029,SETTLED,SETTLED,2024-12-01
16402,PAYING,PAY PROP,2024-12-01
17880,COLLECTIONS,CASSIST2,2024-12-01
87432,COLLECTIONS,TELSOLUTIONS1,2024-12-01
55886,COLLECTIONS,CASSIST2,2024-12-01
61550,COLLECTIONS,CASSIST2,2024-12-01
62692,INSOLVENCY,INSP,2024-12-01
51596,OTHER,ARCHIVED,2024-12-01
94706,TRACE,GONEAWAY,2024-12-01
58892,LEGAL,LEG VERIF 2,2024-12-01
45393,OTHER,ARCHIVED,2024-12-01
74699,COLLECTIONS,CANCEL2,2024-12-01
65864,INSOLVENCY,INS1,2024-12-01
74894,TRACE,GONEAWAY,2024-12-01
90467,PAYING,PAY PROP,2024-12-01
86693,LEGAL,HOLD FO,2024-12-01
67504,SETTLED,SETTLED,2024-12-01
32252,OTHER,ARCHIVED,2024-12-01
16628,OTHER,ARCHIVED,2024-12-01
31903,INSOLVENCY,INSP,2024-12-01
20233,SETTLED,SETTLED,2024-12-01
27223,COLLECTIONS,PAY OVER,2024-12-01
99999,LEGAL,LEG_NOT,2024-12-01
26686,INSOLVENCY,INS3,2025-01-01
48388,OTHER,ARCHIVED,2025-01-01
81634,OTHER,ARCHIVED,2025-01-01
39776,INSOLVENCY,INS3,2025-01-01
70437,LEGAL,LEG VERIF 2,2025-01-01
25635,SETTLED,SETTLED,2025-01-01
72278,LEGAL,HOLD FO,2025-01-01
43314,LEGAL,LEG_TIT,2025-01-01
77262,PAYING,PAY CURR,2025-01-01
68484,TRACE,GONEAWAY,2025-01-01
54341,LEGAL,HOLD FO,2025-01-01
25733,COLLECTIONS,PAY OVER,2025-01-01
83776,PAYING,PAY PROP,2025-01-01
10506,OTHER,ARCHIVED,2025-01-01
54275,SETTLED,SETTLED,2025-01-01
78353,LEGAL,LEG VERIF 1,2025-01-01
91558,SETTLED,SETTLED,2025-01-01
85922,OTHER,ARCHIVED,2025-01-01
44476,TRACE,GONEAWAY,2025-01-01
15757,COLLECTIONS,PRIME_D,2025-01-01
55044,TRACE,GONEAWAY,2025-01-01
26918,INSOLVENCY,INS4,2025-01-01
11916,PAYING,PAY CURR,2025-01-01
91710,PAYING,PAY PROP,2025-01-01
15004,INSOLVENCY,INS4,2025-01-01
40659,SETTLED,SETTLED,2025-01-01
98254,PAYING,PAY CURR,2025-01-01
43882,INSOLVENCY,INS4,2025-01-01
54718,TRACE,GONEAWAY,2025-01-01
61582,OTHER,ARCHIVED,2025-01-01
60011,PAYING,PAY PROP,2025-01-01
94400,TRACE,GONEAWAY,2025-01-01
92221,INSOLVENCY,INSP,2025-01-01
46992,COLLECTIONS,CANCEL4,2025-01-01
91142,COLLECTIONS,TELSOLUTIONS1,2025-01-01
46155,LEGAL,HOLD FO,2025-01-01
88654,OTHER,ARCHIVED,2025-01-01
19372,TRACE,GONEAWAY,2025-01-01
58984,OTHER,ARCHIVED,2025-01-01
49823,INSOLVENCY,INS3,2025-01-01
54296,TRACE,GONEAWAY,2025-01-01
44286,LEGAL,LEG VERIF 2,2025-01-01
11449,LEGAL,LEG_TIT,2025-01-01
33347,TRACE,GONEAWAY,2025-01-01
19523,INSOLVENCY,INS3,2025-01-01
44502,COLLECTIONS,PRIME_D,2025-01-01
89313,SETTLED,SETTLED,2025-01-01
19675,COLLECTIONS,TELSOLUTIONS4,2025-01-01
83943,SETTLED,SETTLED,2025-01-01
68861,COLLECTIONS,PRIME,2025-01-01
53017,TRACE,GONEAWAY,2025-01-01
55992,OTHER,ARCHIVED,2025-01-01
53016,OTHER,ARCHIVED,2025-01-01
10474,COLLECTIONS,TELSOLUTIONS1,2025-01-01
95274,PAYING,PAY PROP,2025-01-01
47933,SETTLED,SETTLED,2025-01-01
19099,LEGAL,LEG VERIF 1,2025-01-01
39629,SETTLED,SETTLED,2025-01-01
28442,COLLECTIONS,CASSIST2,2025-01-01
95324,PAYING,PAY CURR,2025-01-01
98172,OTHER,ARCHIVED,2025-01-01
27789,INSOLVENCY,INS3,2025-01-01
59344,LEGAL,LEG VERIF 1,2025-01-01
31233,LEGAL,HOLD FO,2025-01-01
42494,PAYING,PAY PROP,2025-01-01
93257,LEGAL,LEG_NOT,2025-01-01
28382,LEGAL,LEG_NOT,2025-01-01
91658,COLLECTIONS,TELSOLUTIONS4,2025-01-01
69791,PAYING,PAY CURR,2025-01-01
41546,TRACE,GONEAWAY,2025-01-01
65559,INSOLVENCY,INS4,2025-01-01
13787,LEGAL,LEG VERIF 1,2025-01-01
83652,COLLECTIONS,PRIME,2025-01-01
71125,COLLECTIONS,TELSOLUTIONS4,2025-01-01
35227,INSOLVENCY,INS1,2025-01-01
17413,OTHER,ARCHIVED,2025-01-01
38921,TRACE,GONEAWAY,2025-01-01
95230,OTHER,ARCHIVED,2025-01-01
13861,LEGAL,LEG_TIT,2025-01-01
21707,INSOLVENCY,INS4,2025-01-01
13206,OTHER,ARCHIVED,2025-01-01
15248,LEGAL,LEG VERIF 1,2025-01-01
95291,OTHER,ARCHIVED,2025-01-01
84640,COLLECTIONS,TELSOLUTIONS1,2025-01-01
95157,LEGAL,LEG_NOT,2025-01-01
79792,PAYING,PAY CURR,2025-01-01
98794,OTHER,ARCHIVED,2025-01-01
90869,COLLECTIONS,PRIME_D,2025-01-01
39313,COLLECTIONS,CASSIST2,2025-01-01
21453,SETTLED,SETTLED,2025-01-01
60001,LEGAL,HOLD FO,2025-01-01
77917,COLLECTIONS,CASSIST2,2025-01-01
63848,INSOLVENCY,INSP,2025-01-01
55047,COLLECTIONS,TELSOLUTIONS1,2025-01-01
58434,LEGAL,HOLD FO,2025-01-01
99694,SETTLED,SETTLED,2025-01-01
77521,PAYING,PAY CURR,2025-01-01
42247,TRACE,GONEAWAY,2025-01-01
50973,OTHER,ARCHIVED,2025-01-01
91099,LEGAL,HOLD FO,2025-01-01
61934,COLLECTIONS,CANCEL2,2025-01-01
16077,SETTLED,SETTLED,2025-01-01
46986,PAYING,PAY CURR,2025-01-01
57074,OTHER,ARCHIVED,2025-01-01
66138,INSOLVENCY,INSP,2025-01-01
13883,INSOLVENCY,INSP,2025-01-01
62345,COLLECTIONS,CASSIST2,2025-01-01
94956,INSOLVENCY,INS2,2025-01-01
29836,OTHER,ARCHIVED,2025-01-01
13057,INSOLVENCY,INS2,2025-01-01
18486,PAYING,PAY CURR,2025-01-01
13664,LEGAL,LEG_TIT,2025-01-01
63538,INSOLVENCY,INS4,2025-01-01
34223,TRACE,GONEAWAY,2025-01-01
39966,INSOLVENCY,INS3,2025-01-01
46662,PAYING,PAY PROP,2025-01-01
14671,SETTLED,SETTLED,2025-01-01
32998,LEGAL,LEG_TIT,2025-01-01
91678,SETTLED,SETTLED,2025-01-01
94751,OTHER,ARCHIVED,2025-01-01
39643,INSOLVENCY,INS4,2025-01-01
97918,COLLECTIONS,TELSOLUTIONS4,2025-01-01
33057,PAYING,PAY PROP,2025-01-01
14567,PAYING,PAY CURR,2025-01-01
25726,INSOLVENCY,INS2,2025-01-01
74670,COLLECTIONS,PAY OVER,2025-01-01
11254,OTHER,ARCHIVED,2025-01-01
18838,TRACE,GONEAWAY,2025-01-01
93774,INSOLVENCY,INS1,2025-01-01
64136,TRACE,GONEAWAY,2025-01-01
70219,SETTLED,SETTLED,2025-01-01
45153,INSOLVENCY,INSP,2025-01-01
85441,OTHER,ARCHIVED,2025-01-01
21489,TRACE,GONEAWAY,2025-01-01
94714,INSOLVENCY,INS2,2025-01-01
72340,INSOLVENCY,INSP,2025-01-01
59940,COLLECTIONS,PRIME,2025-01-01
66216,PAYING,PAY PROP,2025-01-01
60840,SETTLED,SETTLED,2025-01-01
75723,OTHER,ARCHIVED,2025-01-01
40540,COLLECTIONS,PRIME_D,2025-01-01
52087,INSOLVENCY,INS2,2025-01-01
73732,PAYING,PAY CURR,2025-01-01
47543,OTHER,ARCHIVED,2025-01-01
13989,SETTLED,SETTLED,2025-01-01
86013,LEGAL,LEG_TIT,2025-01-01
21698,SETTLED,SETTLED,2025-01-01
57417,OTHER,ARCHIVED,2025-01-01
23382,LEGAL,LEG VERIF 1,2025-01-01
46494,TRACE,GONEAWAY,2025-01-01
70629,OTHER,ARCHIVED,2025-01-01
93496,COLLECTIONS,CANCEL2,2025-01-01
86086,OTHER,ARCHIVED,2025-01-01
17821,OTHER,ARCHIVED,2025-01-01
27543,LEGAL,LEG_NOT,2025-01-01
89176,TRACE,GONEAWAY,2025-01-01
13124,PAYING,PAY CURR,2025-01-01
22367,LEGAL,LEG_NOT,2025-01-01
74428,SETTLED,SETTLED,2025-01-01
47450,SETTLED,SETTLED,2025-01-01
68126,INSOLVENCY,INS1,2025-01-01
37988,SETTLED,SETTLED,2025-01-01
97661,OTHER,ARCHIVED,2025-01-01
87813,PAYING,PAY CURR,2025-01-01
78078,SETTLED,SETTLED,2025-01-01
47103,OTHER,ARCHIVED,2025-01-01
37628,INSOLVENCY,INS1,2025-01-01
31658,LEGAL,HOLD FO,2025-01-01
88060,OTHER,ARCHIVED,2025-01-01
25000,COLLECTIONS,CANCEL2,2025-01-01
31172,LEGAL,LEG VERIF 2,2025-01-01
64246,PAYING,PAY PROP,2025-01-01
91435,TRACE,GONEAWAY,2025-01-01
21415,OTHER,ARCHIVED,2025-01-01
52697,SETTLED,SETTLED,2025-01-01
75042,OTHER,ARCHIVED,2025-01-01
84256,LEGAL,LEG_NOT,2025-01-01
20507,INSOLVENCY,INSP,2025-01-01
34108,COLLECTIONS,CANCEL2,2025-01-01
45495,INSOLVENCY,INS3,2025-01-01
22047,OTHER,ARCHIVED,2025-01-01
91712,COLLECTIONS,PAY OVER,2025-01-01
77145,PAYING,PAY PROP,2025-01-01
57663,INSOLVENCY,INS1,2025-01-01
30496,LEGAL,LEG_TIT,2025-01-01
99755,PAYING,PAY PROP,2025-01-01
67443,COLLECTIONS,PAY OVER,2025-01-01
39175,COLLECTIONS,CANCEL4,2025-01-01
52219,COLLECTIONS,CANCEL4,2025-01-01
77395,TRACE,GONEAWAY,2025-01-01
91001,COLLECTIONS,CASSIST2,2025-01-01
47857,LEGAL,HOLD FO,2025-01-01
82789,PAYING,PAY CURR,2025-01-01
67303,TRACE,GONEAWAY,2025-01-01
31527,COLLECTIONS,PAY OVER,2025-01-01
67701,COLLECTIONS,TELSOLUTIONS4,2025-01-01
27800,OTHER,ARCHIVED,2025-01-01
71914,INSOLVENCY,INSP,2025-01-01
93809,COLLECTIONS,CANCEL4,2025-01-01
55200,OTHER,ARCHIVED,2025-01-01
27620,COLLECTIONS,CANCEL4,2025-01-01
43108,OTHER,ARCHIVED,2025-01-01
79521,INSOLVENCY,INS2,2025-01-01
59505,INSOLVENCY,INS1,2025-01-01
32832,SETTLED,SETTLED,2025-01-01
45539,LEGAL,LEG VERIF 2,2025-01-01
64713,OTHER,ARCHIVED,2025-01-01
35504,SETTLED,SETTLED,2025-01-01
24815,INSOLVENCY,INS4,2025-01-01
19986,OTHER,ARCHIVED,2025-01-01
85173,LEGAL,HOLD FO,2025-01-01
66463,PAYING,PAY CURR,2025-01-01
92889,TRACE,GONEAWAY,2025-01-01
97280,SETTLED,SETTLED,2025-01-01
40198,LEGAL,LEG_NOT,2025-01-01
71048,SETTLED,SETTLED,2025-01-01
96772,OTHER,ARCHIVED,2025-01-01
62106,TRACE,GONEAWAY,2025-01-01
38899,COLLECTIONS,PRIME,2025-01-01
56961,OTHER,ARCHIVED,2025-01-01
89612,INSOLVENCY,INS1,2025-01-01
52609,COLLECTIONS,PRIME_D,2025-01-01
78528,PAYING,PAY CURR,2025-01-01
88706,COLLECTIONS,PRIME,2025-01-01
28504,OTHER,ARCHIVED,2025-01-01
11356,OTHER,ARCHIVED,2025-01-01
47808,PAYING,PAY PROP,2025-01-01
14961,LEGAL,LEG VERIF 2,2025-01-01
76500,COLLECTIONS,CASSIST2,2025-01-01
66106,PAYING,PAY CURR,2025-01-01
64070,COLLECTIONS,CANCEL4,2025-01-01
24213,COLLECTIONS,CANCEL4,2025-01-01
36291,TRACE,GONEAWAY,2025-01-01
34629,OTHER,ARCHIVED,2025-01-01
41740,OTHER,ARCHIVED,2025-01-01
84211,SETTLED,SETTLED,2025-01-01
61279,INSOLVENCY,INS2,2025-01-01
82526,LEGAL,LEG_TIT,2025-01-01
81029,SETTLED,SETTLED,2025-01-01
16402,PAYING,PAY PROP,2025-01-01
17880,TRACE,GONEAWAY,2025-01-01
87432,TRACE,GONEAWAY,2025-01-01
55886,COLLECTIONS,CASSIST2,2025-01-01
61550,SETTLED,SETTLED,2025-01-01
62692,INSOLVENCY,INSP,2025-01-01
51596,OTHER,ARCHIVED,2025-01-01
94706,TRACE,GONEAWAY,2025-01-01
58892,LEGAL,LEG VERIF 2,2025-01-01
45393,OTHER,ARCHIVED,2025-01-01
74699,COLLECTIONS,CANCEL2,2025-01-01
65864,INSOLVENCY,INS1,2025-01-01
74894,OTHER,ARCHIVED,2025-01-01
90467,PAYING,PAY PROP,2025-01-01
86693,LEGAL,HOLD FO,2025-01-01
67504,SETTLED,SETTLED,2025-01-01
32252,OTHER,ARCHIVED,2025-01-01
16628,SETTLED,SETTLED,2025-01-01
31903,TRACE,GONEAWAY,2025-01-01
20233,COLLECTIONS,CANCEL2,2025-01-01
27223,COLLECTIONS,PAY OVER,2025-01-01
49999,INSOLVENCY,INS4,2025-01-01
52137,OTHER,ARCHIVED,2025-01-01
83620,TRACE,GONEAWAY,2025-01-01
49171,OTHER,ARCHIVED,2025-01-01
60663,SETTLED,SETTLED,2025-01-01
46545,OTHER,ARCHIVED,2025-01-01
48786,SETTLED,SETTLED,2025-01-01
94638,TRACE,GONEAWAY,2025-01-01
98298,PAYING,PAY PROP,2025-01-01
86556,SETTLED,SETTLED,2025-01-01
90725,TRACE,GONEAWAY,2025-01-01
14117,LEGAL,HOLD FO,2025-01-01
63099,LEGAL,LEG_NOT,2025-01-01
82095,OTHER,ARCHIVED,2025-01-01
84455,COLLECTIONS,TELSOLUTIONS1,2025-01-01
73556,COLLECTIONS,CANCEL4,2025-01-01
53131,PAYING,PAY PROP,2025-01-01
23982,LEGAL,HOLD FO,2025-01-01
48880,TRACE,GONEAWAY,2025-01-01
82007,LEGAL,LEG VERIF 1,2025-01-01
14006,OTHER,ARCHIVED,2025-01-01
26168,LEGAL,LEG_NOT,2025-01-01
33783,LEGAL,LEG_TIT,2025-01-01
35401,TRACE,GONEAWAY,2025-01-01
26696,OTHER,ARCHIVED,2025-01-01
20307,SETTLED,SETTLED,2025-01-01
80451,COLLECTIONS,CANCEL2,2025-01-01
85241,SETTLED,SETTLED,2025-01-01
95997,PAYING,PAY PROP,2025-01-01
94928,OTHER,ARCHIVED,2025-01-01
29210,PAYING,PAY PROP,2025-01-01
58244,SETTLED,SETTLED,2025-01-01
70180,TRACE,GONEAWAY,2025-01-01
78633,COLLECTIONS,CANCEL2,2025-01-01
86015,PAYING,PAY CURR,2025-01-01
91402,COLLECTIONS,CANCEL2,2025-01-01
